Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999990, Turns = 1, Timestamp = 1538179084865
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999990, Turns = 1, Timestamp = 1538179087393
Points = 1999970, Turns = 2, Timestamp = 1538179088633
Points = 1999940, Turns = 3, Timestamp = 1538179089913
Points = 1999900, Turns = 4, Timestamp = 1538179090689
Points = 1999940, Turns = 3, Timestamp = 1538179089913
Points = 1999970, Turns = 2, Timestamp = 1538179088633
Points = 1999990, Turns = 1, Timestamp = 1538179087393
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999990, Turns = 1, Timestamp = 1538179096849
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999990, Turns = 1, Timestamp = 1538179100809
Points = 1999970, Turns = 2, Timestamp = 1538179101418
Points = 1999990, Turns = 1, Timestamp = 1538179100809
Points = 1999975, Turns = 2, Timestamp = 1538179104465
Points = 1999990, Turns = 1, Timestamp = 1538179100809
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999950, Turns = 1, Timestamp = 1538179108361
Points = 1999850, Turns = 2, Timestamp = 1538179108897
Points = 1999950, Turns = 1, Timestamp = 1538179108361
Points = 1999850, Turns = 2, Timestamp = 1538179111697
Points = 1999800, Turns = 3, Timestamp = 1538179113393
Points = 1999850, Turns = 2, Timestamp = 1538179111697
Points = 1999950, Turns = 1, Timestamp = 1538179108361
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 2000000, Turns = 0, Timestamp = 1538179080636
Points = 1999990, Turns = 1, Timestamp = 1538179116697
Points = 1999890, Turns = 2, Timestamp = 1538179117593
Points = 1999850, Turns = 3, Timestamp = 1538179118617
Points = 1999890, Turns = 2, Timestamp = 1538179117593
Points = 1999880, Turns = 3, Timestamp = 1538179122177
